  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyDepartmentController/insertCompanyDepartmentMation]}" onto public void com.skyeye.eve.controller.CompanyDepartmentController.insertCompanyDepartmentMation(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyDepartmentController/queryCompanyDepartmentListTreeByCompanyId]}" onto public void com.skyeye.eve.controller.CompanyDepartmentController.queryCompanyDepartmentListTreeByCompanyId(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyDepartmentController/deleteCompanyDepartmentMationById]}" onto public void com.skyeye.eve.controller.CompanyDepartmentController.deleteCompanyDepartmentMationById(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyDepartmentController/queryCompanyDepartmentMationToEditById]}" onto public void com.skyeye.eve.controller.CompanyDepartmentController.queryCompanyDepartmentMationToEditById(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyJobController/queryCompanyJobList]}" onto public void com.skyeye.eve.controller.CompanyJobController.queryCompanyJobList(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyJobController/deleteCompanyJobMationById]}" onto public void com.skyeye.eve.controller.CompanyJobController.deleteCompanyJobMationById(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyJobController/insertCompanyJobMation]}" onto public void com.skyeye.eve.controller.CompanyJobController.insertCompanyJobMation(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyJobController/editCompanyJobMationById]}" onto public void com.skyeye.eve.controller.CompanyJobController.editCompanyJobMationById(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyJobController/queryCompanyJobMationToEditById]}" onto public void com.skyeye.eve.controller.CompanyJobController.queryCompanyJobMationToEditById(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
  [skyeye-promote][INFO] [2019-01-20 12:34:43] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(547) | Mapped "{[/post/CompanyJobController/queryCompanyJobListTreeByDepartmentId]}" onto public void com.skyeye.eve.controller.CompanyJobController.queryCompanyJobListTreeByDepartmentId(com.skyeye.common.object.InputObject,com.skyeye.common.object.OutputObject) throws java.lang.Exception
